ID,price1,price2,capacity1,capacity2,energy1,energy2,safety1,safety2,original_choice
200,38000.0,47500.0,700.0,700.0,0.6,0.8,70.0,90.0,2
144,38000.0,38000.0,400.0,600.0,0.5,0.8,80.0,70.0,1
135,38000.0,42750.0,400.0,500.0,0.7,0.5,80.0,70.0,3
310,38000.0,42750.0,500.0,500.0,0.4,0.7,80.0,80.0,1
535,38000.0,38000.0,400.0,500.0,0.6,0.6,90.0,80.0,1
224,33250.0,42750.0,500.0,600.0,0.6,0.7,80.0,80.0,1
298,38000.0,42750.0,500.0,700.0,0.4,0.5,80.0,70.0,2
282,38000.0,42750.0,500.0,700.0,0.8,0.7,70.0,90.0,2
126,38000.0,42750.0,600.0,600.0,0.8,0.5,70.0,80.0,2
111,38000.0,42750.0,500.0,600.0,0.6,0.5,80.0,80.0,1
38,38000.0,47500.0,500.0,600.0,0.6,0.6,80.0,80.0,1
444,38000.0,38000.0,400.0,400.0,0.6,0.6,90.0,90.0,1
274,38000.0,33250.0,500.0,600.0,0.4,0.4,80.0,70.0,3
61,38000.0,42750.0,400.0,400.0,0.5,0.8,80.0,90.0,1
469,38000.0,42750.0,600.0,600.0,0.7,0.7,70.0,80.0,3
277,33250.0,47500.0,500.0,600.0,0.7,0.6,90.0,80.0,3
382,38000.0,42750.0,600.0,600.0,0.4,0.5,90.0,80.0,1
275,38000.0,42750.0,500.0,600.0,0.4,0.8,80.0,90.0,1
292,38000.0,38000.0,500.0,400.0,0.8,0.7,70.0,80.0,2
355,38000.0,33250.0,500.0,400.0,0.4,0.7,80.0,80.0,1
315,33250.0,47500.0,500.0,400.0,0.7,0.7,90.0,80.0,1
311,33250.0,38000.0,700.0,600.0,0.5,0.4,80.0,90.0,3
312,38000.0,42750.0,700.0,600.0,0.8,0.6,80.0,70.0,1
400,33250.0,42750.0,400.0,700.0,0.5,0.6,90.0,70.0,1
501,33250.0,38000.0,700.0,600.0,0.8,0.8,90.0,90.0,1
345,38000.0,33250.0,600.0,600.0,0.4,0.5,90.0,80.0,1
221,33250.0,38000.0,500.0,400.0,0.6,0.6,80.0,90.0,1
488,38000.0,42750.0,400.0,400.0,0.6,0.6,70.0,70.0,3
369,33250.0,38000.0,400.0,500.0,0.7,0.8,80.0,70.0,3
258,33250.0,33250.0,600.0,500.0,0.5,0.7,80.0,90.0,1
7,33250.0,38000.0,500.0,600.0,0.6,0.4,70.0,90.0,1
141,38000.0,47500.0,700.0,400.0,0.6,0.7,70.0,80.0,3
253,38000.0,38000.0,600.0,500.0,0.8,0.6,80.0,80.0,1
501,38000.0,38000.0,400.0,400.0,0.6,0.5,90.0,80.0,1
214,33250.0,42750.0,600.0,400.0,0.5,0.4,80.0,90.0,1
268,38000.0,33250.0,600.0,400.0,0.8,0.8,80.0,70.0,1
18,38000.0,42750.0,600.0,700.0,0.8,0.6,70.0,70.0,2
63,33250.0,38000.0,400.0,600.0,0.8,0.8,70.0,80.0,3
187,38000.0,38000.0,700.0,400.0,0.6,0.4,70.0,70.0,2
353,38000.0,33250.0,500.0,400.0,0.8,0.7,70.0,80.0,3
126,33250.0,38000.0,400.0,700.0,0.8,0.6,70.0,70.0,3
11,33250.0,38000.0,500.0,600.0,0.6,0.8,70.0,70.0,3
42,38000.0,42750.0,500.0,400.0,0.6,0.4,80.0,90.0,1
39,38000.0,42750.0,500.0,600.0,0.6,0.6,80.0,70.0,1
42,38000.0,47500.0,700.0,500.0,0.7,0.6,70.0,80.0,1
254,38000.0,33250.0,400.0,500.0,0.5,0.6,80.0,70.0,3
323,33250.0,38000.0,700.0,700.0,0.5,0.6,80.0,70.0,3
409,33250.0,38000.0,700.0,500.0,0.4,0.6,80.0,80.0,1
316,38000.0,38000.0,500.0,600.0,0.4,0.8,80.0,90.0,1
79,38000.0,42750.0,400.0,600.0,0.7,0.5,80.0,80.0,1
17,33250.0,38000.0,500.0,500.0,0.6,0.4,70.0,80.0,1
62,38000.0,42750.0,500.0,700.0,0.6,0.7,80.0,90.0,1
373,38000.0,47500.0,500.0,400.0,0.4,0.6,80.0,90.0,1
251,38000.0,33250.0,700.0,400.0,0.6,0.5,70.0,90.0,3
190,33250.0,33250.0,600.0,500.0,0.5,0.7,80.0,90.0,3
67,33250.0,47500.0,400.0,400.0,0.8,0.7,70.0,80.0,3
208,33250.0,47500.0,500.0,500.0,0.6,0.5,80.0,70.0,1
263,38000.0,42750.0,700.0,600.0,0.6,0.8,70.0,80.0,3
305,33250.0,42750.0,400.0,400.0,0.7,0.6,80.0,80.0,3
167,38000.0,42750.0,600.0,600.0,0.8,0.8,80.0,80.0,1
85,38000.0,38000.0,400.0,700.0,0.5,0.6,80.0,70.0,1
343,38000.0,42750.0,500.0,500.0,0.8,0.5,70.0,70.0,3
73,38000.0,47500.0,400.0,600.0,0.5,0.6,80.0,90.0,3
388,33250.0,42750.0,600.0,400.0,0.5,0.6,70.0,70.0,3
447,38000.0,42750.0,600.0,400.0,0.7,0.6,70.0,70.0,1
459,38000.0,47500.0,400.0,700.0,0.6,0.5,70.0,80.0,3
82,33250.0,33250.0,400.0,700.0,0.8,0.8,70.0,90.0,3
